"countryname","country","election","pec","party1","party2","threshold","incompatibility","polarization","average_magnitude","seatshare1","seatshare2","seatlag1","seatlag2","per_vote1","per_vote2","votelag1","votelag2","in_govt2","in_govt1","enep","twoparty","ident","caseID","iso3","edate","year","electionId","pecId","party1Name","party1Fam","party2Name","party2Fam","sameFamily","party1pos","party2pos","govCoalition","distance","enep2","polarization2"
"Australia",1,691025,0,63620,63320,35,20.3999996185303,24.7999992370605,1,0.370000004768372,0.469999998807907,0.490000009536743,0.330000013113022,34.7700004577637,46.9500007629395,40.1399993896484,39.9799995422363,0,1,2.82999992370605,NA,1691025,2,36,1969-10-25,1969,"36.1969-10-25",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.713827013969421,3.42155146598816,0,2.70772445201874,2.83838367048628,0.131985399451655
"Australia",1,691025,0,63620,63330,35,24.7999992370605,24.7999992370605,1,0.370000004768372,0,0.490000009536743,0,34.7700004577637,6.01999998092651,40.1399993896484,7.30999994277954,0,1,2.82999992370605,NA,1691025,3,36,1969-10-25,1969,"36.1969-10-25",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,0.713827013969421,0.324454069137573,0,0.389372944831848,2.83838367048628,0.131985399451655
"Australia",1,691025,0,63810,63320,35,15.1999998092651,24.7999992370605,1,0.159999996423721,0.469999998807907,0.170000001788139,0.330000013113022,8.5600004196167,46.9500007629395,9.84000015258789,39.9799995422363,1,1,2.82999992370605,NA,1691025,4,36,1969-10-25,1969,"36.1969-10-25",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,1.22118878364563,3.42155146598816,1,2.20036268234253,2.83838367048628,0.131985399451655
"Australia",1,691025,0,63810,63330,35,5.19999980926514,24.7999992370605,1,0.159999996423721,0,0.170000001788139,0,8.5600004196167,6.01999998092651,9.84000015258789,7.30999994277954,0,1,2.82999992370605,NA,1691025,5,36,1969-10-25,1969,"36.1969-10-25",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,1.22118878364563,0.324454069137573,0,0.896734714508057,2.83838367048628,0.131985399451655
"Australia",1,691025,1,63810,63620,35,30,24.7999992370605,1,0.159999996423721,0.370000004768372,0.170000001788139,0.490000009536743,8.5600004196167,34.7700004577637,9.84000015258789,40.1399993896484,0,1,2.82999992370605,1,1691025,6,36,1969-10-25,1969,"36.1969-10-25",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,1.22118878364563,0.713827013969421,0,0.507361769676208,2.83838367048628,0.131985399451655
"Australia",1,721202,0,63330,63320,35,14.6999998092651,31.1000003814697,1,0,0.540000021457672,0,0.469999998807907,5.25,49.5900001525879,6.01999998092651,46.9500007629395,1,0,2.76999998092651,NA,1721202,1,36,1972-12-02,1972,"36.1972-12-02",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,0.403320014476776,1.86671769618988,0,1.4633976817131,2.77583640868388,0.08649328408585
"Australia",1,721202,0,63620,63320,35,16.3999996185303,31.1000003814697,1,0.300000011920929,0.540000021457672,0.370000004768372,0.469999998807907,32.0400009155273,49.5900001525879,34.7700004577637,46.9500007629395,1,0,2.76999998092651,NA,1721202,2,36,1972-12-02,1972,"36.1972-12-02",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.0318950265645981,1.86671769618988,0,1.83482266962528,2.77583640868388,0.08649328408585
"Australia",1,721202,0,63620,63330,35,31.1000003814697,31.1000003814697,1,0.300000011920929,0,0.370000004768372,0,32.0400009155273,5.25,34.7700004577637,6.01999998092651,0,0,2.76999998092651,NA,1721202,3,36,1972-12-02,1972,"36.1972-12-02",6362063330,"LPA Liberal Party of Australia",60,"DLP Democratic Labor Party",30,0,0.0318950265645981,0.403320014476776,1,0.371424987912178,2.77583640868388,0.08649328408585
"Australia",1,721202,0,63810,63320,35,40,31.1000003814697,1,0.159999996423721,0.540000021457672,0.159999996423721,0.469999998807907,9.4399995803833,49.5900001525879,8.5600004196167,46.9500007629395,1,0,2.76999998092651,NA,1721202,4,36,1972-12-02,1972,"36.1972-12-02",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.223921477794647,1.86671769618988,0,1.64279621839523,2.77583640868388,0.08649328408585
"Australia",1,721202,0,63810,63330,35,25.2999992370605,31.1000003814697,1,0.159999996423721,0,0.159999996423721,0,9.4399995803833,5.25,8.5600004196167,6.01999998092651,0,0,2.76999998092651,NA,1721202,5,36,1972-12-02,1972,"36.1972-12-02",6381063330,"CP Country Party",80,"DLP Democratic Labor Party",30,0,0.223921477794647,0.403320014476776,1,0.179398536682129,2.77583640868388,0.08649328408585
"Australia",1,721202,1,63810,63620,35,8.89999961853027,31.1000003814697,1,0.159999996423721,0.300000011920929,0.159999996423721,0.370000004768372,9.4399995803833,32.0400009155273,8.5600004196167,34.7700004577637,1,0,2.76999998092651,1,1721202,6,36,1972-12-02,1972,"36.1972-12-02",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.223921477794647,0.0318950265645981,0,0.192026451230049,2.77583640868388,0.08649328408585
"Australia",1,740518,0,63330,63320,35,56.5,64.0999984741211,1,0,0.519999980926514,0,0.540000021457672,1.41999995708466,49.2999992370605,5.25,49.5900001525879,1,0,2.66000008583069,NA,1740518,1,36,1974-05-18,1974,"36.1974-05-18",6333063320,"DLP Democratic Labor Party",30,"ALP Australian Labor Party",30,1,4.78296327590942,0.554339408874512,0,4.22862386703491,2.66417033551007,0.0533001219396707
